type,claim_en,claim_fr
approved,Build one reusable AI workflow.,
approved,Build one self-improving AI workflow.,
approved,Set up a lightweight department Proof Room.,
approved,Build your first self-improving AI workflow live.,
approved,Department RSI in 30 days.,
approved,Enterprise RSI without model self-modification.,
approved,"GoalOS applies recursive self-improvement principles to workflows, not base models.",
prohibited,guaranteed ROI,
prohibited,guaranteed revenue,
prohibited,guaranteed productivity,
prohibited,certified compliance,
prohibited,certified AI safety,
prohibited,legal / financial / tax / HR / security / medical / regulatory advice,
prohibited,autonomous AGI,
prohibited,base-model self-modification,
prohibited,uncontrolled autonomous deployment,
