brief,purpose,priority,trigger
Tax / Accounting / CFO Brief,"Entity, margin, sales tax, reporting, and financial operating model.",High,Before scaling paid offers.
Privacy / Data Protection Brief,Data handling and privacy posture.,High,Before client data enters workflows.
Security / SOC 2 / Trust Center Brief,Security controls and trust posture.,High,Before enterprise pilots.
IP / Trademark / Licensing Brief,"Protect GoalOS, Proof Gradient, QUEBEC.AI, and buyer/license rights.",High,Before broad distribution.
UX / CRO / Buyer Journey Brief,Improve conversion without unsupported claims.,Medium,Before paid traffic.
Enterprise Sales / GTM Brief,Enterprise offer motion.,High,Before enterprise outreach.
RevOps / Analytics Brief,Operational metrics and pipeline instrumentation.,Medium,Before multi-channel launch.
Brand / Design System Brief,Consistent public identity.,Medium,Before agency handoff.
Growth Marketing Brief,Demand generation within claim boundaries.,Medium,After workshop proof card.
Accessibility / Localization Brief,Accessible bilingual public experience.,Medium,Before larger public launch.
Insurance / Risk Brief,Coverage and operational risk posture.,Medium,Before higher-liability pilots.
Enterprise Procurement / Trust Brief,Procurement and buyer trust package.,High,Before enterprise pilots.
Independent Proof Audit Brief,External review of proof artifacts.,High,After Proof Card 001.
